md5sum	size	simple	outskirt	width	info_round	info	dof_round	dof
e52e45dd6f27ed0980ea632dd746aabc	10	36	35	35	33	30	38	28
1896f79dc562dc8ff833c357fc3f49e1	15	51	52	53	53	43	45	29
ae58c55a8563d72f2c5fcd37f357292c	10	31	29	31	25	19	21	22
13fdf372c636d8674fe029635c615750	15	75	69	73	73	52	78	64
fec3cda647f06c1513e0389bb1607904	10	26	26	22	21	21	22	15
128a7e23e08343ccc380e98daa2c3b3b	15	53	64	57	49	37	51	40
f77e06c7b88452d57ab5dabbb19941cf	10	29	26	27	22	24	21	23
5237183dc73b88d666fa628679bb17be	15	40	41	40	38	34	41	36
9ee359929a3354f6549e39bbc8f3e53d	10	29	28	25	25	20	26	16
664f5fb879abfd0285acc475a079ba7a	15	66	64	64	65	50	63	50
dbd5e3522a63abcb2c49f4445add50fe	10	35	34	31	31	21	32	21
7095b1e21c703fdb23794aeba1757dc7	15	50	63	50	44	40	53	41
1e52f249b64457c15c0f530e91636990	10	32	24	31	32	20	29	20
80ab786e689c56227c947d8eaaf6ae68	15	67	72	64	56	49	63	61
ba13a41ee6f4ff74fe1a06140bad2a19	15	73	66	73	73	51	78	61
1d702b8706dd861f77c8623a185ee521	10	22	26	25	22	20	20	19
2b93eaa68b6632f9ba51c438020047ec	15	47	48	45	51	35	50	32
7bfbf95a6ec5f592c970ea4461cf36fe	10	23	29	23	23	19	24	19
fc8a671315543e496a4aa97e56d85a48	15	41	45	40	39	34	41	39
e5d733dfb3ad9bc1c402078ea95da819	15	48	49	42	42	39	45	40
030ef43b7876230cd023ffc25787407b	10	33	34	29	26	19	24	26
1fd5fcf00e8eac6585a1eaf4e543a382	15	57	54	55	45	37	48	41
bdbf2b00fecbcd044ea891ef5b76e024	15	52	50	46	44	35	46	36
62951f3aec3c58c6a24df7fd2333ecb1	15	51	52	44	45	34	49	32
edbf3e662c7de370ba280475e6ca4404	15	58	64	60	58	36	48	41
90698b12798e254234e989a3ce13fe55	10	32	29	29	31	24	31	23
93edfda3e3b701bc1d78746c7733cbf6	15	76	87	81	78	64	74	72
bd14cca23e40723c7a983135105172ce	10	31	32	34	29	26	27	32
def19e4129e4ad5b508bb1a8fe72c8a7	15	47	46	48	44	39	45	39
3289ee3c47ded5392262a44db8b4610b	15	60	57	56	49	39	49	38
59e3bf3eb263c2750ba562df8bbc6d60	10	26	28	24	24	18	26	18
3613ed1df2c6ca3698feda7ac32ad624	15	46	46	46	36	36	42	32
e49cb9a5125a498b175663eef05453ef	10	29	33	31	29	18	29	19
2af5c846beb3795972a179101bc3110f	10	40	37	34	35	31	35	27
a1516bd4eff03646cf38e1e916676c28	15	44	45	40	38	32	39	29
787909d4af6c4061cb1908c368bd583c	10	35	39	36	34	29	33	28
181fb80e6daf17183392ef2d3326e40b	15	39	35	38	35	29	34	27
1c9785470913e3e1841f6c351a03e3d8	10	30	35	32	31	20	26	20
43a82e2aa2172a5a72a9121a148c03ef	15	34	39	34	33	32	34	30
fdfe03c88bc497183d1aeecd9791586e	10	59	56	62	58	53	59	51
ae6c3cd696813be24bd19b44fe6f04e1	15	49	45	50	45	34	50	40
845efdc30c5943046a522cc2520f3496	10	35	35	33	41	20	36	23
f925ec9f90bae28f396b236c7af5ef19	15	45	47	38	38	36	39	43
93d4f7759a902a9aa8cbd19e2ea1bc08	10	37	36	34	30	24	28	28
8decbe705be946bc5671adfff6a196ba	15	34	30	31	30	33	28	28
1605d4bd883e383bfb9a75fe637efd7b	15	54	56	52	44	35	44	28
1fce8a54751608600db064227285c4fe	10	34	30	34	37	28	34	27
8996a63d62f3222caa4887783f062f0a	15	54	52	54	51	33	54	42
0ab0ed0953fb1d5bf7aa29decb409861	10	32	35	36	30	26	34	28
66a60120f6d4569bd27a98c87f796dff	15	41	50	37	39	31	35	32
2b0b78c8a1bbf28324b7b5be9f7b3468	10	30	28	28	26	18	26	19
74865c4e673efabeec217cceb80628da	15	44	50	48	38	28	44	28
4e9fdee713742f7486c8128bdafbf4c6	10	35	38	32	33	25	32	26
36a9893f7016bcbe92a7c5d5e8fd53b1	15	43	49	43	46	39	45	43
a75028be4a6f824d2d3b8bd7fcf8f558	15	51	49	48	46	40	48	41
87c4cd0892b57caa522d1d34eba99751	10	29	25	25	21	18	21	20
9cb3eebb88b8f120a27cca7f537c9d60	15	47	50	39	34	27	36	29
969fc6d01e780b32a695fd3d3f63f4c5	10	35	28	41	34	32	37	33
154e6a2c7cb37e84a0c7f521619769dd	15	68	71	68	66	50	68	60
576d4f7d5ca49b893265157149d87e80	10	36	34	35	33	28	27	27
8abe6c7bd1e0ed3e84211402f353af69	15	78	83	76	75	54	70	68
3b229e4ddae260f4ad0678c14a30527a	10	33	32	35	38	23	36	30
8bc53454907f37bd71b1453f3bd3f9f7	15	53	54	55	47	30	46	36
3dc3c97d11b8d589aacf1f27e4cdcd2e	10	33	32	31	29	25	30	21
